row,record,x,y,amplitude,thickness
1,0,60.0,-30.34600257873535,93942.28080208864,19.150129870129867
1,1,60.0,-29.308942794799805,99570.7159505833,19.6608
1,2,60.0,-28.369441986083984,151292.66152193447,20.19945205479452
1,3,60.0,-27.421859741210938,130509.27606296746,20.479999999999997
1,4,60.0,-26.46804428100586,139836.71900576117,20.479999999999997
1,5,60.0,-25.556119918823242,136576.77129643882,20.479999999999997
1,6,60.0,-24.563447952270508,152572.82462075533,20.19945205479452
1,7,60.0,-23.870275497436523,147471.40653635882,20.19945205479452
1,8,60.0,-22.72844123840332,197464.5296620684,20.19945205479452
1,9,60.0,-21.7344913482666,254453.56730383853,19.926486486486482
1,10,60.0,-20.7345027923584,233018.3697695464,19.926486486486482
1,11,60.0,-19.745079040527344,267158.44109131326,19.926486486486482
1,12,60.0,-18.686229705810547,213897.81179887895,19.926486486486482
1,13,60.0,-17.663789749145508,220812.03950221767,20.19945205479452
1,14,60.0,-16.709182739257812,228212.97072814897,20.19945205479452
1,15,60.0,-15.730973243713379,162025.0913368248,20.19945205479452
1,16,60.0,-14.680876731872559,180758.65269402575,20.479999999999997
1,17,60.0,-13.76594352722168,115119.19341272152,20.479999999999997
1,18,60.0,-12.662610054016113,128126.40896115359,20.76845070422535
1,19,60.0,-11.833127975463867,136957.75722926419,21.065142857142853
1,20,60.0,-10.676375389099121,135329.6182557456,21.370434782608694
1,21,60.0,-9.505741119384766,98319.8426978589,22.008358208955222
1,22,60.0,-8.690773010253906,81352.7656604644,22.34181818181818
1,23,60.0,-7.505768299102783,71646.20344424683,21.68470588235294
1,24,60.0,-6.685279369354248,97454.15786490019,21.370434782608694
1,25,60.0,-5.605165958404541,83484.33802061323,30.0
1,26,60.0,-4.753479957580566,83425.2498778396,15.855483870967738
1,27,60.0,-3.640136480331421,112299.037940832,15.521684210526313
1,28,60.0,-2.7202210426330566,123202.59953459748,15.359999999999998
1,29,60.0,-1.5591267347335815,111630.86683567982,15.201649484536079
1,30,60.0,-0.7194370031356812,106692.94782824077,14.894545454545451
1,31,60.0,0.418268620967865,175142.55854612164,14.599603960396037
1,32,60.0,1.4523876905441284,6802539.079184443,30.0
1,33,60.0,2.416019916534424,702381.5533164503,30.0
1,34,60.0,3.4222769737243652,1017485.5850524687,30.0
1,35,60.0,4.391787052154541,197770.8553807317,15.521684210526313
1,36,60.0,5.407020092010498,152765.9161672879,15.359999999999998
1,37,60.0,6.313864707946777,171115.15302041243,15.521684210526313
