row,record,x,y,amplitude,thickness,expected_thickness,diff
1,0,1,0,30431.00255,6.612376682,22.75,16.14
1,1,1,1,18435.707,22.00835821,22.75,0.74
1,2,1,2,1063.536234,7.055311005,22.75,15.69
1,3,1,3,8197.960478,4.401671642,22.75,18.35
1,4,1,4,29255.24572,22.00835821,22.75,0.74
1,5,1,5,39175.9641,21.68470588,22.75,1.07
1,6,1,6,28680.77946,9.216,22.75,13.53
1,7,1,7,40134.17383,6.248135593,22.75,16.5
1,8,1,8,1447.08991,6.467368421,22.75,16.28
1,9,1,9,12815.94011,4.454864048,22.75,18.3
1,10,1,10,22327.07793,18.90461538,22.75,3.85
1,11,1,11,51342.33562,18.90461538,22.75,3.85
1,12,1,12,24086.71084,19.15012987,22.75,3.6
1,13,1,13,24301.45696,5.564377358,22.75,17.19
1,14,1,14,8306.586826,22.00835821,22.75,0.74
1,15,1,15,14163.50401,4.537107692,22.75,18.21
1,16,1,16,20847.6284,19.92648649,22.75,2.82
1,17,1,17,47403.71703,19.92648649,22.75,2.82
1,18,1,18,31147.96808,19.92648649,22.75,2.82
1,19,1,19,20180.98724,7.640207254,22.75,15.11
1,20,1,20,1369.950875,5.137839721,22.75,17.61
1,21,1,21,14711.31049,5.049863014,22.75,17.7
1,22,1,22,31661.64891,7.228235294,22.75,15.52
1,23,1,23,56938.09662,8.573023256,22.75,14.18
1,24,1,24,29103.57779,7.523265306,22.75,15.23
1,25,1,25,8622.502713,6.495859031,16.75,10.25
1,26,1,26,24987.61301,9.273962264,16.75,7.48
1,27,1,27,27406.1608,15.68680851,16.75,1.06
1,28,1,28,25368.83784,15.20164948,16.75,1.55
1,29,1,29,42405.78731,15.20164948,16.75,1.55
1,30,1,30,23329.35838,15.04653061,16.75,1.7
1,31,1,31,5459.747202,15.68680851,16.75,1.06
1,32,1,32,1540.018849,1.495496957,16.75,15.25
1,33,1,33,1135.638602,1.497015228,16.75,15.25
1,34,1,34,1101.352926,16.20395604,16.75,0.55
1,35,1,35,70229.77898,15.85548387,16.75,0.89
1,36,1,36,57011.97717,15.85548387,16.75,0.89
1,37,1,37,3514.064262,15.68680851,16.75,1.06
1,38,1,38,2294.51831,1.497015228,16.75,15.25
1,39,1,39,1791.33624,15.52168421,16.75,1.23
1,40,1,40,18854.44962,15.68680851,16.75,1.06
1,41,1,41,61997.53281,15.68680851,16.75,1.06
1,42,1,42,86850.47114,15.68680851,16.75,1.06
1,43,1,43,31161.11526,15.68680851,16.75,1.06
1,44,1,44,1232.38416,15.36,16.75,1.39
1,45,1,45,20010.30188,15.52168421,16.75,1.23
1,46,1,46,42702.91322,15.68680851,16.75,1.06
1,47,1,47,46304.6142,15.68680851,16.75,1.06
1,48,1,48,41557.96964,15.68680851,16.75,1.06
1,49,1,49,9414.121556,15.52168421,16.75,1.23
1,50,1,50,2681.508385,15.36,16.75,1.39
1,51,1,51,11087.30595,15.20164948,16.75,1.55
1,52,1,52,26672.29829,14.89454545,16.75,1.86
1,53,1,53,70325.55424,14.7456,16.75,2
1,54,1,54,46610.19549,16.384,16.75,0.37
1,55,1,55,24622.59952,16.56808989,16.75,0.18
1,56,1,56,1464.693639,13.40509091,16.75,3.34
1,57,1,57,7308.39431,13.40509091,16.75,3.34
1,58,1,58,51041.82842,13.65333333,16.75,3.1
1,59,1,59,77500.50347,13.52807339,16.75,3.22
1,60,1,60,72560.53247,6.922816901,16.75,9.83
1,61,1,61,10608.53176,5.461333333,16.75,11.29
1,62,1,62,1787.168924,1.495496957,16.75,15.25
1,63,1,63,6840.238017,4.772038835,16.75,11.98
1,64,1,64,37794.04325,16.75636364,16.75,0.01
1,65,1,65,64434.56688,16.75636364,16.75,0.01
1,66,1,66,50721.30338,16.56808989,16.75,0.18
1,67,1,67,10003.9718,16.75636364,16.75,0.01
1,68,1,68,591.5326528,17.14604651,16.75,0.4
1,69,1,69,23648.57598,5.362036364,16.75,11.39
1,70,1,70,1500000,9.513290323,16.75,7.24
1,71,1,71,1500000,22.00835821,16.75,5.26
2,0,2,0,42529.48359,5.362036364,17,11.64
2,1,2,1,8515.222672,5.28516129,17,11.71
2,2,2,2,56071.9985,9.273962264,17,7.73
2,3,2,3,108578.3482,9.273962264,17,7.73
2,4,2,4,112807.3903,5.342608696,17,11.66
2,5,2,5,54544.05173,17.34776471,17,0.35
2,6,2,6,12229.77949,17.14604651,17,0.15
2,7,2,7,2742.318009,5.362036364,17,11.64
2,8,2,8,21699.80914,5.421176471,17,11.58
2,9,2,9,37282.7643,5.401318681,17,11.6
2,10,2,10,169327.6396,21.68470588,17,4.68
2,11,2,11,33940.60492,13.52807339,17,3.47
2,12,2,12,15856.96314,16.384,17,0.62
2,13,2,13,4717.51423,16.384,17,0.62
2,14,2,14,8139.528149,16.384,17,0.62
2,15,2,15,35154.03368,16.384,17,0.62
2,16,2,16,772998.1781,20.48,17,3.48
2,17,2,17,26336.5611,16.56808989,17,0.43
2,18,2,18,16670.7672,16.56808989,17,0.43
2,19,2,19,13474.1117,16.56808989,17,0.43
2,20,2,20,26740.44752,16.56808989,17,0.43
2,21,2,21,63879.13428,16.384,17,0.62
2,22,2,22,63674.12506,16.20395604,17,0.8
2,23,2,23,64819.9707,16.20395604,17,0.8
2,24,2,24,23224.72294,16.20395604,17,0.8
2,25,2,25,19657.20861,16.20395604,17,0.8
2,26,2,26,44231.81637,16.20395604,17,0.8
2,27,2,27,72239.41477,16.20395604,17,0.8
2,28,2,28,76304.67669,16.20395604,17,0.8
2,29,2,29,64480.90334,16.02782609,17,0.97
2,30,2,30,29751.52808,16.02782609,17,0.97
2,31,2,31,1574.053452,15.85548387,17,1.14
2,32,2,32,36183.82329,15.85548387,17,1.14
2,33,2,33,121394.8955,15.85548387,17,1.14
2,34,2,34,137881.7817,15.85548387,17,1.14
2,35,2,35,98751.64574,16.02782609,17,0.97
2,36,2,36,26597.32307,16.02782609,17,0.97
2,37,2,37,613.5419089,15.52168421,17,1.48
2,38,2,38,24029.33243,15.85548387,17,1.14
2,39,2,39,60075.26367,15.36,17,1.64
2,40,2,40,75744.23264,15.20164948,17,1.8
2,41,2,41,52059.42025,12.49627119,17,4.5
