row,record,x_localized,y_localized,x_bin,y_bin,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,voltage_max,thickness_frequency_amplitude,p_wave_integral,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,frequencies,mean_amplitudes,impactor_mass,sensor_ids,noise,clipped,debond,thickness_diff,defect,ie_defect
12,0,288.0,62.413639068603516,288.0,62.0,1.0,4589.843750000001,15.686808510638294,12,21585458.461912803,17464.842353925906,0.4883851383541984,675952.1484375,9.686279895149406,17329614.552842423,"[0, 0, 0]","[675952.1484375, 354089.35546875, 317431.64062499994]",0.0,15.696000000000002,6.4e-05,1757.8125000000002,31250.000000000004,29492.187500000004,9179.687500000002,0,97.65625000000001,2.1893593853497886,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.00088889e-31 3.17181209e-02 5.04472130e-02 ... 2.01660387e-04
 1.67724722e-04 1.30311380e-04]",8.5,"[0, 1, 2]",0,0,1,1,0,0
12,1,288.0,61.3651008605957,288.0,61.0,1.0,5029.296875000001,14.316116504854367,12,1341437.819382561,12583.545977059579,1.0,218737.79296874994,1.096853596318284,5128482.250922558,"[0, 0, 0]","[218737.79296874994, 351672.36328124994, 339990.234375]",0.08293639014565217,16.416,6.8e-05,683.5937500000001,30419.921875000004,29736.328125000004,10058.593750000002,0,3515.6250000000005,0.9550124496931814,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.26199918e-32 3.00299964e-03 4.81280840e-03 ... 1.87384147e-04
 1.86480994e-04 1.80849432e-04]",8.5,"[0, 1, 2]",1,0,1,1,0,0
12,2,288.0,60.36524963378906,288.0,60.0,1.0,5029.296875000001,14.316116504854367,12,16294253.858976677,14227.514166470395,0.5702229997928215,553491.2109375,6.465418072410785,13335965.18864077,"[0, 0, 0]","[553491.2109375, 302929.68749999994, 240087.89062500003]",0.0420121522617677,15.48,6.4e-05,1367.1875000000002,30908.203125000004,29541.015625000004,10058.593750000002,0,1757.8125000000002,1.9393958930991158,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.71925035e-32 1.98597568e-02 3.17344895e-02 ... 3.51807539e-07
 8.80800673e-07 3.71485919e-06]",8.5,"[0, 1, 2]",0,0,1,1,0,0
12,3,288.0,59.462650299072266,288.0,59.0,1.0,5029.296875000001,14.316116504854367,12,20479796.936714333,21646.57274213394,0.5869919255694876,645739.74609375,14.74014052454128,16933627.931930102,"[0, 0, 0]","[645739.74609375, 254992.67578124994, 142199.70703124994]",0.09168403427185343,15.408000000000001,6.8e-05,1904.2968750000002,27783.203125000004,25878.906250000004,10058.593750000002,0,97.65625000000001,2.7912593852069887,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.51700637e-34 4.57938435e-02 7.22466273e-02 ... 5.45078663e-06
 1.90236550e-05 3.73755166e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
12,4,288.0,58.3509407043457,288.0,58.0,1.0,5029.296875000001,14.316116504854367,12,11663013.997877473,17543.45771757773,0.6463547202858286,514013.6718749999,8.257743964971917,13160977.79992475,"[0, 0, 0]","[514013.6718749999, 277551.26953125, 76940.91796875003]",0.10561925341846155,15.623999999999999,6.7e-05,1269.5312500000002,29052.734375000004,27783.203125000004,10058.593750000002,0,97.65625000000001,1.5475936593117938,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.37822860e-32 2.62982091e-02 4.19767125e-02 ... 2.35086840e-05
 3.29824416e-05 4.79753688e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
12,5,288.0,57.34267807006836,288.0,57.0,1.0,5029.296875000001,14.316116504854367,12,9798875.47940758,14814.07665143767,0.6232016558450324,426599.12109375,5.710912101602171,11792338.597484937,"[0, 0, 0]","[426599.12109375, 330322.265625, 237268.06640624997]",0.0573225158220669,15.623999999999999,6.6e-05,1318.3593750000002,27539.062500000004,26220.703125000004,10058.593750000002,0,1757.8125000000002,1.655902036307505,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.96455556e-33 1.95481908e-02 3.12329286e-02 ... 2.45356601e-05
 1.93989647e-05 1.42658323e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
12,6,288.0,56.41737365722656,288.0,56.0,1.0,5078.125000000001,14.178461538461537,12,8996992.993196636,13944.108232495366,0.6101649686600987,457617.18749999994,3.1073585965341435,10511988.447913975,"[0, 0, 0]","[457617.18749999994, 315014.64843749994, 289636.23046875]",0.08064860068485043,15.696000000000002,6.6e-05,1367.1875000000002,28662.109375000004,27294.921875000004,10156.250000000002,0,1757.8125000000002,2.450347689027852,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.67970654e-35 1.92771127e-02 3.06474087e-02 ... 2.01616986e-05
 2.25213636e-05 2.46325412e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
12,7,288.0,55.38412094116211,288.0,55.0,1.0,5224.609375000001,13.78093457943925,12,3763737.365643781,12366.681302046043,0.8675676885912023,320654.296875,1.4297053613863706,5881976.79750762,"[0, 0, 0]","[320654.296875, 244519.04296874994, 176037.59765625006]",0.08964819995545925,15.912,6.8e-05,878.9062500000001,27587.890625000004,26708.984375000004,10449.218750000002,0,1757.8125000000002,0.8913310383603268,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.32469436e-33 9.96022637e-03 1.59342104e-02 ... 8.06490813e-05
 8.53598115e-05 9.02299110e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,8,288.0,54.379127502441406,288.0,54.0,1.0,13525.390625000002,5.323321299638988,12,18978215.802916616,18598.374362739592,0.5762911626351481,629223.6328124999,3.804700529246324,14351239.82617137,"[0, 0, 0]","[629223.6328124999, 433447.26562499994, 196582.03124999994]",0.09363161867049782,15.84,6.3e-05,1025.3906250000002,30712.890625000004,29687.500000000004,27050.781250000004,0,97.65625000000001,1.812798447761363,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.45244492e-33 1.15404983e-02 1.84283180e-02 ... 7.80722137e-05
 6.21230353e-05 4.66990859e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,9,288.0,53.399139404296875,288.0,53.0,1.0,6347.656250000001,11.342769230769228,12,8011997.146185418,21399.164039564832,0.9894386863075005,378259.27734375,3.1551277789187773,11202516.648651611,"[0, 0, 0]","[378259.27734375, 246130.37109375003, 125683.59375000004]",0.14914112921242884,16.056,7.1e-05,390.62500000000006,34765.62500000001,34375.00000000001,12695.312500000002,0,2099.6093750000005,2.858823214145077,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.69590596e-32 9.27923793e-03 1.45174575e-02 ... 1.23366996e-05
 1.10408162e-05 8.02597556e-06]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,10,288.0,52.38668441772461,288.0,52.0,1.0,6152.343750000001,11.702857142857141,12,18363354.38441292,25995.45633469908,0.7153282971107876,626000.9765625,6.318630354632911,15147037.344057195,"[0, 0, 0]","[626000.9765625, 271508.7890625, 70092.77343749997]",0.1234703506666285,15.768,6.8e-05,1318.3593750000002,27050.781250000004,25732.421875000004,12304.687500000002,0,97.65625000000001,4.665313574283366,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.33503015e-34 1.49703776e-02 2.31660713e-02 ... 8.78506083e-06
 1.12364826e-05 1.51674091e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,11,288.0,51.37398147583008,288.0,51.0,1.0,6005.859375000001,11.988292682926827,12,3904409.879978299,14693.460837479466,1.0,302124.0234375,2.3433740429610306,7395689.2456972925,"[0, 0, 0]","[302124.0234375, 143005.37109375, 112792.96875]",0.06462848318778987,15.408000000000001,7.2e-05,537.1093750000001,30126.953125000004,29589.843750000004,12011.718750000002,0,97.65625000000001,1.6483353537243808,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[6.03607957e-33 3.49403456e-03 5.52911747e-03 ... 5.09252255e-05
 3.04922027e-05 1.56288044e-05]",8.5,"[0, 1, 2]",1,0,1,0,0,0
12,12,288.0,50.39280319213867,288.0,50.0,1.0,5908.203125000001,12.186446280991733,12,8414063.1522342,18466.232010071224,1.0,386718.75,3.6219755592650937,9237941.556051806,"[0, 0, 0]","[386718.75, 257409.66796874997, 233642.578125]",0.0,15.48,7e-05,634.7656250000001,33886.71875000001,33251.95312500001,11816.406250000002,0,97.65625000000001,2.1370585983570556,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[8.88442283e-33 1.32954270e-03 2.12114497e-03 ... 5.06765298e-05
 5.21212552e-05 5.48240735e-05]",8.5,"[0, 1, 2]",1,0,1,0,0,0
12,13,288.0,49.37620544433594,288.0,49.0,1.0,14013.671875000002,5.1378397212543545,12,5042496.389122534,8836.666916384667,0.7603465366908295,282385.25390625,0.6469092267939658,5792540.837660526,"[0, 0, 0]","[282385.25390625, 179260.25390625, 226794.43359374994]",0.08102017102802112,15.623999999999999,6.6e-05,683.5937500000001,27929.687500000004,27246.093750000004,28027.343750000004,0,97.65625000000001,0.5667828156439234,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.09111844e-33 1.03109072e-03 1.63303552e-03 ... 1.84640327e-05
 1.59440017e-05 1.22409245e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,14,288.0,48.40290069580078,288.0,48.0,1.0,16015.625000000002,4.4956097560975605,12,2762278.3587026345,11222.32128808663,1.0,215112.30468749997,0.4416488810190151,5471058.976815147,"[0, 0, 0]","[215112.30468749997, 165966.79687500006, 159924.31640625006]",0.0,15.696000000000002,6.9e-05,927.7343750000001,25439.453125000004,24511.718750000004,32031.250000000004,0,97.65625000000001,1.595580863475444,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.79379922e-33 4.76053589e-05 6.96160699e-05 ... 1.56371564e-04
 1.63196114e-04 1.64597051e-04]",8.5,"[0, 1, 2]",1,0,1,0,0,0
12,15,288.0,47.33251190185547,288.0,47.0,1.0,10009.765625000002,7.192975609756096,12,28712011.58329251,14316.600884134235,0.5262271908605389,677160.6445312499,2.5264788277588712,13182879.256862383,"[0, 0, 0]","[677160.6445312499, 385913.08593749994, 172814.94140624997]",0.0,15.912,6.3e-05,781.2500000000001,37792.96875000001,37011.71875000001,20019.531250000004,0,1269.5312500000002,1.2494405216799507,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[8.36447376e-33 9.38436324e-06 3.29324725e-05 ... 5.56927733e-05
 6.39761337e-05 7.07889956e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,16,288.0,46.316139221191406,288.0,46.0,1.0,26708.984375000004,2.695722120658135,12,37179665.21567876,15124.719398913834,0.3246566697464172,676757.8125,4.4856709550193425,20077558.894045018,"[0, 0, 0]","[676757.8125, 526501.46484375, 123266.60156250003]",0.0,17.208000000000002,6.1e-05,1660.1562500000002,35595.70312500001,33935.54687500001,53417.96875000001,0,97.65625000000001,1.7526844159706991,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.60087809e-31 7.20048173e-04 1.22637362e-03 ... 7.95567673e-05
 9.05120134e-05 9.53513293e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,17,288.0,45.40130615234375,288.0,45.0,1.0,10839.843750000002,6.642162162162161,12,14415725.388176994,13959.991343845471,0.6722978201689221,525695.80078125,2.036207025474818,10015675.218072893,"[0, 0, 0]","[525695.80078125, 310583.49609375, 246130.37109375003]",0.08816722099381223,20.016,6.6e-05,781.2500000000001,30126.953125000004,29345.703125000004,21679.687500000004,0,97.65625000000001,1.501988062066492,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.26462151e-32 2.08134625e-03 3.38571107e-03 ... 8.80022096e-05
 8.97595764e-05 8.76290478e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,18,288.0,44.40107345581055,288.0,44.0,1.0,11279.296875000002,6.383376623376622,12,9889737.816593662,15635.473652870161,0.9877434461660007,466076.66015625,1.685834697304933,7612613.701116409,"[0, 0, 0]","[466076.66015625, 243310.54687499997, 253381.34765624997]",0.020812114275723093,20.664,6.9e-05,830.0781250000001,34814.45312500001,33984.37500000001,22558.593750000004,0,2001.9531250000002,2.5796962336066698,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.47188262e-34 4.52707621e-03 7.33435354e-03 ... 1.76382691e-04
 1.68329264e-04 1.54438700e-04]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,19,288.0,43.331356048583984,288.0,43.0,1.0,7128.906250000001,10.09972602739726,12,7204656.25668826,14737.898782677948,0.9965147706269759,371008.30078124994,1.1664262542906763,7102495.456072039,"[0, 0, 0]","[371008.30078124994, 221154.78515624997, 146228.02734374994]",0.08717315824479638,20.88,7e-05,1123.0468750000002,27734.375000000004,26611.328125000004,14257.812500000002,0,97.65625000000001,1.4272998601687248,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.99765279e-33 6.20145192e-03 1.01131845e-02 ... 6.16048640e-05
 4.84018881e-05 3.66921871e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
12,20,288.0,42.417171478271484,288.0,42.0,1.0,8544.921875000002,8.426057142857141,12,9520795.130263658,14948.205779422686,1.0,417736.81640625,1.036856595799763,7413195.921539252,"[0, 0, 0]","[417736.81640625, 223571.77734375, 159521.48437500003]",0.0,20.736,6.7e-05,1220.7031250000002,27832.031250000004,26611.328125000004,17089.843750000004,0,97.65625000000001,1.5120077993516365,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.54059950e-32 4.68194913e-03 7.65911895e-03 ... 4.64794179e-05
 4.33308791e-05 4.09048938e-05]",8.5,"[0, 1, 2]",1,0,1,0,0,0
13,0,288.0,63.075531005859375,288.0,63.0,1.0,4638.671875000001,15.521684210526313,12,12825835.061660077,21991.864945290326,0.5747261721972253,433044.43359375,16.529241426033074,17110304.469851088,"[0, 0, 0]","[433044.43359375, 205847.16796875003, 177648.92578125003]",0.1370608970970727,15.768,7.2e-05,1953.1250000000002,23486.328125000004,21533.203125000004,9277.343750000002,0,2246.0937500000005,3.368219057054885,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.98854061e-32 4.33549741e-02 6.81217430e-02 ... 1.57759394e-05
 1.92643236e-05 2.72121650e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
13,1,288.0,62.351924896240234,288.0,62.0,1.0,4589.843750000001,15.686808510638294,12,21011070.81944704,19691.178607794496,0.4943976629893578,643725.5859375,10.639265925182901,18260675.829660397,"[0, 0, 0]","[643725.5859375, 297290.03906249994, 244519.04296874994]",0.10955007664876833,15.552,6.6e-05,1171.8750000000002,29882.812500000004,28710.937500000004,9179.687500000002,0,97.65625000000001,2.416878951732094,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[7.22389538e-32 4.01188410e-02 6.37195946e-02 ... 4.32918988e-07
 2.18926299e-07 1.66939414e-07]",8.5,"[0, 1, 2]",0,0,1,1,0,0
13,2,288.0,61.35879135131836,288.0,61.0,1.0,4541.015625000001,15.855483870967738,12,60805.51404486586,2480.50974765903,1.0,62438.96484375,0.029055392044923946,1246329.8687157745,"[0, 0, 0]","[62438.96484375, 290441.89453125, 156298.82812499994]",0.0,14.328000000000003,6.9e-05,683.5937500000001,28808.593750000004,28125.000000000004,9082.031250000002,0,97.65625000000001,0.0328170898011611,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[6.38539313e-35 2.05046593e-04 3.17962511e-04 ... 7.87336341e-05
 8.36808466e-05 8.63485015e-05]",8.5,"[0, 1, 2]",1,0,1,1,0,0
