x,y,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,x_localized,y_localized,frequencies,mean_amplitudes,impactor_mass,sensor_ids,x_bin,y_bin,noise,clipped,debond,thickness_diff,defect,ie_defect
1,18,1,15869.14063,4.537107692,12,21126375.11,9331.049154,0.329110032,3.118610816,12617045.83,21.90982246,"[0, 0, 0]","[382690.4296875, 547851.5625, 312194.82421875]",0.152552459,19.296,6.50E-05,3222.65625,27148.4375,23925.78125,31738.28125,0,927.734375,0.945537653,6,21.90982246,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.37112451e-32 9.73764215e-03 1.85565751e-02 ... 3.45430829e-06
 1.74299313e-06 1.91737693e-06]",8.5,"[1, 0, 2]",6,21,0,0,0,0,1,0
1,19,0,3808.59375,18.90461538,12,2389578.434,4338.618881,0.167696442,10.39300468,13212409.91,23.10788727,"[0, 0, 0]","[97082.51953125003, 87414.55078125004, 148242.18749999994]",0.341919968,16.848,0.000128,0,20166.01563,20166.01563,7617.1875,1,2392.578125,0.535261459,6,23.10788727,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.89901759e-33 3.48558321e-02 7.52673393e-02 ... 2.67191046e-06
 8.08573725e-07 1.15330988e-06]",37.5,"[1, 0, 2]",6,23,0,0,0,1,1,1
1,20,1,9667.96875,7.447272727,12,33924291.79,13078.82856,0.345215682,7.489452028,17248582.02,23.96910477,"[0, 0, 0]","[623181.15234375, 744433.59375, 394775.390625]",0.071533609,19.584,6.50E-05,1464.84375,32080.07813,30615.23438,19335.9375,0,97.65625,1.109744871,6,23.96910477,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.27785646e-32 1.48020031e-02 2.64812395e-02 ... 1.85741065e-05
 1.63922714e-05 1.64209654e-05]",8.5,"[1, 0, 2]",6,23,0,0,0,0,1,0
1,21,0,3808.59375,18.90461538,12,1251488.162,6142.344264,0.286499375,8.313902447,11338256.32,24.70676041,"[0, 0, 0]","[75329.58984375004, 67675.78124999996, 135351.56250000003]",0.319128288,16.848,0.000134,0,49902.34375,49902.34375,7617.1875,1,2490.234375,0.317189193,6,24.70676041,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[8.57341687e-34 2.48831787e-02 5.11186146e-02 ... 2.70187472e-06
 1.35502554e-06 4.61424667e-06]",37.5,"[1, 0, 2]",6,24,0,0,0,1,1,1
1,22,1,7324.21875,9.8304,12,29598224.79,11953.11907,0.300910937,10.51138566,17514530.41,25.57596016,"[0, 0, 0]","[549462.8906249999, 711804.19921875, 553088.37890625]",0.062888512,19.656,6.50E-05,1416.015625,32519.53125,31103.51563,14648.4375,0,97.65625,0.935879246,6,25.57596016,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[7.86020155e-33 1.51798060e-02 2.76538332e-02 ... 2.72817593e-05
 1.98587221e-05 1.63745147e-05]",8.5,"[1, 0, 2]",6,25,0,0,0,0,1,0
1,23,0,3759.765625,19.15012987,12,2144723.43,9529.369371,0.380027085,11.41380963,13523901.81,26.58089256,"[0, 0, 0]","[92248.53515624997, 91845.70312499996, 157507.32421875003]",0.273933237,16.632,0.0001,0,22851.5625,22851.5625,7519.53125,0,3613.28125,0.750763529,6,26.58089256,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.72855684e-32 4.00808711e-02 8.22301089e-02 ... 1.42560205e-05
 9.12110422e-06 1.10187675e-05]",37.5,"[1, 0, 2]",6,26,1,0,0,1,0,0
1,24,1,3710.9375,19.40210526,12,19912906.34,10645.60755,0.352449249,3.428825812,12336440.52,28.0687809,"[0, 0, 0]","[613513.18359375, 550671.38671875, 553491.2109375]",0.122805902,19.44,6.70E-05,1416.015625,32617.1875,31201.17188,7421.875,1,1025.390625,0.597500116,6,28.0687809,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.84290155e-33 1.49292381e-02 2.64112260e-02 ... 6.86266441e-06
 1.49093515e-06 2.13394806e-06]",8.5,"[1, 0, 2]",6,28,0,0,0,1,1,1
1,25,0,3759.765625,19.15012987,12,2482583.723,4822.498117,0.181106027,14.11460294,14530515.38,29.11146355,"[0, 0, 0]","[125683.59375000004, 112792.96875, 186511.23046874994]",0.333839987,16.704,0.000124,537.109375,25732.42188,25195.3125,7519.53125,1,1953.125,0.459040662,6,29.11146355,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.67065209e-32 4.17999832e-02 9.13585622e-02 ... 2.67494669e-06
 7.24813255e-06 1.19117841e-05]",37.5,"[1, 0, 2]",6,29,0,0,0,1,1,1
1,26,1,3710.9375,19.40210526,12,8532921.952,9440.01529,0.397972739,3.674059313,9048652.576,29.75868988,"[0, 0, 0]","[228405.76171874994, 284399.4140625, 236462.40234375006]",0.12296395,19.512,7.40E-05,1513.671875,23974.60938,22460.9375,7421.875,1,97.65625,0.756639932,6,29.75868988,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.68270203e-33 1.37073000e-02 2.44871684e-02 ... 5.83975516e-06
 8.15275417e-06 1.23278648e-05]",8.5,"[1, 0, 2]",6,29,0,0,0,1,1,1
1,27,0,3808.59375,18.90461538,12,2407171.647,7879.01418,0.289417683,14.8786107,13819478.22,30.55127335,"[0, 0, 0]","[112390.13671874997, 107153.32031250003, 134545.89843749997]",0.616071821,17.064,9.50E-05,0,18603.51563,18603.51563,7617.1875,1,3369.140625,0.614896691,6,30.55127335,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.88488993e-32 3.68463478e-02 7.84702937e-02 ... 4.89163061e-06
 9.78801642e-07 8.14602329e-07]",37.5,"[1, 0, 2]",6,30,0,0,0,1,1,1
